result_path,run_dir,config_mode,config_optimizer_impl,config_backend,config_device_type,config_world_size,config_model_size,config_context_length,config_batch_size,config_warmup_steps,config_measure_steps,config_bucket_size_mb,config_master_port,config_campaign,config_output_root,model_spec_name,model_spec_d_model,model_spec_d_ff,model_spec_num_layers,model_spec_num_heads,status,mean_seconds,stdev_seconds,min_seconds,max_seconds,memory_post_init_label,memory_post_init_parameter_bytes,memory_post_init_gradient_bytes,memory_post_init_optimizer_state_bytes,memory_post_init_cuda_allocated_bytes,memory_post_init_cuda_reserved_bytes,memory_post_init_cuda_max_allocated_bytes,memory_pre_step_label,memory_pre_step_parameter_bytes,memory_pre_step_gradient_bytes,memory_pre_step_optimizer_state_bytes,memory_pre_step_cuda_allocated_bytes,memory_pre_step_cuda_reserved_bytes,memory_pre_step_cuda_max_allocated_bytes,memory_post_step_label,memory_post_step_parameter_bytes,memory_post_step_gradient_bytes,memory_post_step_optimizer_state_bytes,memory_post_step_cuda_allocated_bytes,memory_post_step_cuda_reserved_bytes,memory_post_step_cuda_max_allocated_bytes
data/section3/assignment_section3_memory_full/memory_sharded_nccl_cuda_ws2_xl_ctx128_bs4/result.json,data/section3/assignment_section3_memory_full/memory_sharded_nccl_cuda_ws2_xl_ctx128_bs4,memory,sharded,nccl,cuda,2,xl,128,4,3,5,25.0,29801,assignment_section3_memory_full,data/section3,xl,1600,6400,48,25,ok,2.6828275795909575,0.05841223560514303,2.620913897990249,2.7571268169558607,post_init,7992940800,0,0,8183765504,8185184256,8183765504,pre_step,7992940800,7992940800,8120935272,24670530048,31337742336,28817651200,post_step,7992940800,7992940800,8120935272,24670530048,31337742336,28817651200
data/section3/assignment_section3_memory_full/memory_standard_nccl_cuda_ws2_xl_ctx128_bs4/result.json,data/section3/assignment_section3_memory_full/memory_standard_nccl_cuda_ws2_xl_ctx128_bs4,memory,standard,nccl,cuda,2,xl,128,4,3,5,25.0,29800,assignment_section3_memory_full,data/section3,xl,1600,6400,48,25,ok,1.9283745173946953,0.03200837382449975,1.8769995989860035,1.9527128769550472,post_init,7992940800,0,0,8183765504,8185184256,8183765504,pre_step,7992940800,7992940800,15985883340,32725784576,42746249216,40903140352,post_step,7992940800,7992940800,15985883340,32725784576,42746249216,40903140352
