warmup_steps,context_length,mode,mean_ms,steady_ms,stdev_ms
0,128,forward,51.038063189480454,15.425454760487709,112.62454880876842
1,128,forward,14.765386411454529,14.92545867545737,1.5803866683350916
2,128,forward,14.279808686114848,14.23453831941717,2.419917375558164
5,128,forward,13.895747635979205,14.006306145650646,1.0393735384158558
0,256,forward,54.29780998965725,15.465809420372048,122.81134577507368
1,256,forward,15.694511809851974,15.255178130852679,1.9431959203871625
2,256,forward,14.009320631157607,14.144049918589493,1.268561179897412
5,256,forward,14.405082608573139,14.3185258946485,1.2800378874861063
0,512,forward,56.49214991135523,17.89837668184191,122.06553685634022
1,512,forward,18.028050614520907,17.97533323729618,2.7977167665754927
2,512,forward,19.761542894411832,20.056073657340473,3.9933099240475887
5,512,forward,18.48055199952796,18.684301551224454,2.5271985455894947
0,1024,forward,69.5707003120333,31.73559134463883,119.83024605061307
1,1024,forward,32.27780577726662,32.10790698520012,6.40079538858468
2,1024,forward,31.07968120602891,31.639980786066086,7.249977978099457
5,1024,forward,32.677815994247794,33.36915999857916,4.241877987354539
0,128,forward_backward,86.50914122117683,33.73419768953075,166.91590899992045
1,128,forward_backward,35.14682969544083,34.62530866575738,3.064088580635947
2,128,forward_backward,34.10629369318485,33.584001655172976,3.1957814760764123
5,128,forward_backward,35.86346161318943,35.93782222984979,3.6988345808324614
0,256,forward_backward,92.03712029848248,40.97308655683366,161.54444630452522
1,256,forward_backward,40.23305260343477,40.88312234833009,4.292734286029582
2,256,forward_backward,39.62932324502617,39.82282270832608,4.710741769524307
5,256,forward_backward,38.76402467722073,38.26403086228917,4.190740308333396
0,512,forward_backward,105.21928292000666,52.607105242916276,166.49989251749952
1,512,forward_backward,54.57904858049005,55.6044259832965,8.612422193122676
2,512,forward_backward,53.36591760860756,52.46337567869988,10.245819214480186
5,512,forward_backward,57.66329308971763,57.1400443247209,7.696672280741267
0,1024,forward_backward,141.16184208542109,92.62239498396714,153.5586349666203
1,1024,forward_backward,93.3965407195501,94.05834301530074,4.191563744442251
2,1024,forward_backward,92.07553140586242,92.13374055818552,4.688808307940127
5,1024,forward_backward,93.40751288691536,93.06506786702408,3.892590416216826
