result_path,run_dir,config_mode,config_optimizer_impl,config_backend,config_device_type,config_world_size,config_model_size,config_context_length,config_batch_size,config_warmup_steps,config_measure_steps,config_bucket_size_mb,config_master_port,config_campaign,config_output_root,model_spec_name,model_spec_d_model,model_spec_d_ff,model_spec_num_layers,model_spec_num_heads,status,mean_seconds,stdev_seconds,min_seconds,max_seconds
data/section3/assignment_section3_timing_full/timing_sharded_nccl_cuda_ws2_xl_ctx128_bs4/result.json,data/section3/assignment_section3_timing_full/timing_sharded_nccl_cuda_ws2_xl_ctx128_bs4,timing,sharded,nccl,cuda,2,xl,128,4,3,5,25.0,29801,assignment_section3_timing_full,data/section3,xl,1600,6400,48,25,ok,2.6992934503941797,0.024623664306491832,2.6699776930036023,2.738121828006115
data/section3/assignment_section3_timing_full/timing_standard_nccl_cuda_ws2_xl_ctx128_bs4/result.json,data/section3/assignment_section3_timing_full/timing_standard_nccl_cuda_ws2_xl_ctx128_bs4,timing,standard,nccl,cuda,2,xl,128,4,3,5,25.0,29800,assignment_section3_timing_full,data/section3,xl,1600,6400,48,25,ok,1.9088980168104173,0.04537275094086217,1.855996453028638,1.9527836699853651
