config_model_size,config_context_length,config_batch_size,config_mode,config_precision,mean_seconds,stdev_seconds,peak_reserved_gb,peak_device_used_gb,snapshot_path
xl,128,1,train_step,bf16,0.4902670782059431,0.029465620387323282,35.69921875,35.69921875,
xl,128,1,train_step,fp32,0.5540194837958552,0.023990510784539593,32.033203125,32.033203125,
xl,256,1,forward,bf16,0.06659130270127207,0.005291920721099529,11.4296875,11.4296875,
xl,256,1,forward,fp32,0.09040565610048361,0.003642496674215736,7.685546875,7.685546875,
xl,256,1,forward_backward,bf16,0.22621344209765085,0.0006706560527756781,20.341796875,20.341796875,
xl,256,1,forward_backward,fp32,0.4060549034998985,0.004792365486454526,16.47265625,16.47265625,
xl,256,1,train_step,bf16,0.5095559372013667,0.027630277668214506,36.072265625,36.072265625,
xl,256,1,train_step,fp32,0.6853462308994495,0.022934122523679545,32.08203125,32.08203125,
xl,512,1,forward,bf16,0.09069262319826521,0.0062303523162987465,11.73046875,11.73046875,
xl,512,1,forward,fp32,0.2176556230930146,0.0047538139241752216,7.763671875,7.763671875,
xl,512,1,forward_backward,bf16,0.29491773540212307,0.00767400156599288,22.1953125,22.1953125,
xl,512,1,forward_backward,fp32,0.6376972516038222,0.008305190982433005,20.703125,20.703125,
xl,512,1,train_step,bf16,0.6352243714034558,0.08212031306383802,37.724609375,37.724609375,
xl,512,1,train_step,fp32,0.9108816530904733,0.009819431341763569,34.357421875,34.357421875,
xl,1024,1,forward,bf16,0.22131193570094182,0.028674255449280598,11.8046875,11.8046875,
xl,1024,1,forward,fp32,0.5008612046018243,0.05657352506409932,8.09375,8.09375,
xl,1024,1,forward_backward,bf16,0.816374834801536,0.1486260596880557,25.0390625,25.0390625,
xl,1024,1,forward_backward,fp32,1.709061378298793,0.27800232950757175,26.638671875,26.638671875,
xl,1024,1,train_step,bf16,0.5889211389992852,0.020567711964086795,42.009765625,42.009765625,
xl,1024,1,train_step,fp32,2.2996748144942103,0.16823404501868347,42.18359375,42.18359375,
