config_implementation,config_dtype,config_sequence_length,config_d_model,status,forward_ms,backward_ms,end_to_end_ms
flash_triton,bf16,128,16,ok,0.006598117713378195,0.41652359457855875,0.3915555551143358
flash_triton,bf16,256,16,ok,0.008304064190829264,1.1706947163268402,1.1376281722423134
flash_triton,bf16,512,16,ok,0.050533957068257564,3.6952899565567843,4.389114675698457
flash_triton,bf16,1024,16,ok,0.04603684183133914,16.83465592066447,16.656445264816284
flash_triton,bf16,2048,16,ok,0.2665926282685772,76.04524612426758,82.52377319335938
flash_triton,bf16,4096,16,ok,0.14880749236300014,253.3187255859375,242.98226928710938
flash_triton,bf16,8192,16,ok,0.27630134429154773,994.9711303710938,1096.647705078125
flash_triton,bf16,16384,16,ok,0.9554688247493269,4190.5576171875,4424.52294921875
flash_triton,bf16,32768,16,ok,2.2705949574959376,21536.919921875,18975.83203125
flash_triton,bf16,65536,16,ok,9.792635657570578,82828.9296875,80856.4921875
flash_triton,bf16,128,32,ok,0.0329754758617077,0.5175023735906066,0.6524882814733969
flash_triton,bf16,256,32,ok,0.03684013580464494,1.947231717886181,1.525902758137538
flash_triton,bf16,512,32,ok,0.12766094245543286,4.211972297562493,5.877438414387587
flash_triton,bf16,1024,32,ok,0.06666245624063569,20.652128219604492,20.643186145358616
flash_triton,bf16,2048,32,ok,0.20828779075601686,66.3884162902832,79.1440315246582
flash_triton,bf16,4096,32,ok,0.3487717220359,270.1809997558594,321.99847412109375
flash_triton,bf16,8192,32,ok,0.4850523704490907,1277.4033203125,1287.0406494140625
flash_triton,bf16,16384,32,ok,1.352967271073298,5071.42724609375,5066.68505859375
flash_triton,bf16,32768,32,ok,3.839896512586017,20224.61328125,19789.677734375
flash_triton,bf16,65536,32,ok,12.750281929969788,79871.6328125,61343.0234375
flash_triton,bf16,128,64,ok,0.022085462045855046,0.5441606452696096,0.4228383527120822
flash_triton,bf16,256,64,ok,0.10598200047860627,1.1026685132221743,1.0991108056078567
flash_triton,bf16,512,64,ok,0.07150922944216394,4.119666167207666,4.253557562828064
flash_triton,bf16,1024,64,ok,0.13486211586648794,16.551485148343172,15.72706389427185
flash_triton,bf16,2048,64,ok,0.1896800679253771,52.20380783081055,63.06217575073242
flash_triton,bf16,4096,64,ok,0.4680248786353234,261.1144714355469,267.78790283203125
flash_triton,bf16,8192,64,ok,0.7559273519446658,1004.8334350585938,1058.8719482421875
flash_triton,bf16,16384,64,ok,2.319995903561258,4160.240234375,4162.1171875
flash_triton,bf16,32768,64,ok,5.7567801557738205,16468.11328125,16557.021484375
flash_triton,bf16,65536,64,ok,18.698240184783934,66305.7734375,67270.5234375
flash_triton,bf16,128,128,ok,0.015751425204160265,0.43905602385370013,0.44050242953601443
flash_triton,bf16,256,128,ok,0.11980859647355689,1.0664909139414813,1.0454100934059725
flash_triton,bf16,512,128,ok,0.08483481446291108,4.013355556461546,3.800236427121692
flash_triton,bf16,1024,128,ok,0.16592337870251164,16.61688796679179,18.822803115844728
flash_triton,bf16,2048,128,ok,0.07018808602642553,69.0628662109375,69.09100723266602
flash_triton,bf16,4096,128,ok,0.43026271034246205,283.4254150390625,281.12860107421875
flash_triton,bf16,8192,128,ok,1.281766028507896,1109.3634033203125,1116.557861328125
flash_triton,bf16,16384,128,ok,3.985059004276991,3811.870361328125,4443.2080078125
flash_triton,bf16,32768,128,ok,13.486210187276205,12764.9150390625,13184.267578125
flash_triton,bf16,65536,128,ok,38.914654922485354,48958.31640625,70530.1015625
flash_triton,fp32,128,16,ok,0.006682434895386298,0.4030937990924052,0.4757312141160411
flash_triton,fp32,256,16,ok,0.030750023102145366,1.424074665043089,1.4719253338045544
flash_triton,fp32,512,16,ok,0.03737431463791699,4.954350392023723,5.301967655740133
flash_triton,fp32,1024,16,ok,0.09230456008895327,19.810645209418404,19.779342227511936
flash_triton,fp32,2048,16,ok,0.026343776162145047,83.72039794921875,78.72499084472656
flash_triton,fp32,4096,16,ok,0.317460120811129,311.0190734863281,325.9450378417969
flash_triton,fp32,8192,16,ok,0.37617279809102955,1268.123291015625,1274.0152587890625
flash_triton,fp32,16384,16,ok,1.0566473166321138,2855.80908203125,3957.820068359375
flash_triton,fp32,32768,16,ok,2.337864932193551,15875.8193359375,15819.0546875
flash_triton,fp32,65536,16,ok,7.759364190308944,63191.109375,61782.00390625
flash_triton,fp32,128,32,ok,0.020107940395548324,0.33921044866184585,0.326758031047979
flash_triton,fp32,256,32,ok,0.009896257187808753,1.096127566837129,0.9968439004308468
flash_triton,fp32,512,32,ok,0.08425105785880285,3.9334686304393567,3.865490065466973
flash_triton,fp32,1024,32,ok,0.1000728069038122,14.826350798973671,15.392180269414728
flash_triton,fp32,2048,32,ok,0.17510455206992867,62.182411193847656,62.257738749186196
flash_triton,fp32,4096,32,ok,0.20043690698842206,238.4503936767578,255.0298614501953
flash_triton,fp32,8192,32,ok,0.49975793576391225,991.950439453125,990.6470336914062
flash_triton,fp32,16384,32,ok,1.3113768310458571,3955.5498046875,3961.497802734375
flash_triton,fp32,32768,32,ok,3.547828680735368,13407.2109375,13412.2099609375
flash_triton,fp32,65536,32,ok,10.597456004884508,42547.93359375,45618.7578125
flash_triton,fp32,128,64,ok,0.011190796648113689,0.23193401688975948,0.199517796629396
flash_triton,fp32,256,64,ok,0.062061033863415875,0.7208676728847865,0.7876352876016538
flash_triton,fp32,512,64,ok,0.0447464639496145,3.0283549949526787,3.0092181865483116
flash_triton,fp32,1024,64,ok,0.11594290536194629,12.118056933085123,11.744445664542061
flash_triton,fp32,2048,64,ok,0.14826656745719738,45.46442413330078,46.44327926635742
flash_triton,fp32,4096,64,ok,0.23368511544278517,185.91510009765625,194.79714965820312
flash_triton,fp32,8192,64,ok,0.49003435684242114,758.61669921875,754.7112426757812
flash_triton,fp32,16384,64,ok,1.5140397684615956,3017.8447265625,3029.56494140625
flash_triton,fp32,32768,64,ok,4.704699692817835,12108.951171875,12115.23828125
flash_triton,fp32,65536,64,ok,15.219058752059937,48448.1640625,47286.5859375
flash_triton,fp32,128,128,ok,0.02324061544789593,0.20722986411447952,0.2118224709561676
flash_triton,fp32,256,128,ok,0.036921637918841614,0.8625041686255356,0.8756028898060322
flash_triton,fp32,512,128,ok,0.06257973853815531,3.169140124320984,3.4174693301320076
flash_triton,fp32,1024,128,ok,0.10319660790447398,11.539545631408691,12.753498470082002
flash_triton,fp32,2048,128,ok,0.22880358076292903,50.389583587646484,50.759029388427734
flash_triton,fp32,4096,128,ok,0.399887202479475,195.12176513671875,201.5037384033203
flash_triton,fp32,8192,128,ok,1.029954525200944,796.8712768554688,799.7979125976562
flash_triton,fp32,16384,128,ok,3.1631810311917907,3202.86376953125,3204.0771484375
flash_triton,fp32,32768,128,ok,11.343896360958324,12811.466796875,12848.037109375
flash_triton,fp32,65536,128,ok,41.183743476867676,49044.390625,56443.01953125
naive,bf16,128,16,ok,0.19042271126302018,0.1756851236398719,0.4227029969264944
naive,bf16,256,16,ok,0.20655238023076847,0.10002563110064892,0.23619728178256055
naive,bf16,512,16,ok,0.24569633369101213,0.16183774673066414,0.2035004887869233
naive,bf16,1024,16,ok,0.14037181271078325,0.2459665545562638,0.4668391324140244
naive,bf16,2048,16,ok,0.3598394925250624,0.3552080819152322,0.7269792258501053
naive,bf16,4096,16,ok,1.577031461843129,1.1231265694816839,1.7438781655751743
naive,bf16,8192,16,ok,7.401777451688593,6.869548809528351,13.04786960895245
naive,bf16,16384,16,ok,31.051686477661132,30.037189801534016,59.556437174479164
naive,bf16,32768,16,ok,115.52262115478516,88.55875396728516,203.81024169921875
naive,bf16,65536,16,oom,,,
naive,bf16,128,32,ok,0.18571527191955442,0.12606265808962125,0.28775417199415065
naive,bf16,256,32,ok,0.19041160243555658,0.09962386244222493,0.3140174402173273
naive,bf16,512,32,ok,0.22148577902221447,0.12734238459386518,0.35199775517328963
naive,bf16,1024,32,ok,0.2084158563403168,0.2345386663359736,0.500904375836048
naive,bf16,2048,32,ok,0.29102800949419455,0.2631943789964223,0.5969457606243532
naive,bf16,4096,32,ok,1.3094560358877356,0.833299804321831,1.3819630892560033
naive,bf16,8192,32,ok,6.022467974573374,4.762184952580651,9.899411746433803
naive,bf16,16384,32,ok,26.682157516479492,23.767114639282227,48.324472427368164
naive,bf16,32768,32,ok,108.51026916503906,94.95591735839844,197.04896545410156
naive,bf16,65536,32,oom,,,
naive,bf16,128,64,ok,0.16357595927021162,0.10934069735230878,0.277290808236817
naive,bf16,256,64,ok,0.23507589794711298,0.1777643486930245,0.20285545864616752
naive,bf16,512,64,ok,0.2685343454078097,0.061431687126380266,0.33895829698141616
naive,bf16,1024,64,ok,0.23922423981917448,0.33174720287357296,0.5717007053288294
naive,bf16,2048,64,ok,0.3938310596568878,0.1789353146061658,0.5971300862789154
naive,bf16,4096,64,ok,1.0114168594260728,0.5238514772070109,2.09113861894121
naive,bf16,8192,64,ok,6.8728485727310185,6.717234318596976,14.119266656728891
naive,bf16,16384,64,ok,26.101787294660294,23.424068723406112,49.059359550476074
naive,bf16,32768,64,ok,79.45219421386719,95.0265121459961,200.2836456298828
naive,bf16,65536,64,oom,,,
naive,bf16,128,128,ok,0.20893323242532133,0.10195435331858617,0.31826071805089196
naive,bf16,256,128,ok,0.2522921914824524,0.15707032330952614,0.2023392561869349
naive,bf16,512,128,ok,0.2513353520323158,0.06962456952839383,0.21089078782661877
naive,bf16,1024,128,ok,0.13679496187404913,0.19831487905270984,0.41978312162989445
naive,bf16,2048,128,ok,0.3074735367156742,0.3798151278534221,0.5536880648738992
naive,bf16,4096,128,ok,0.9603480322416439,0.7906760861762137,1.7891187243461608
naive,bf16,8192,128,ok,5.540951783316476,4.879601035267115,7.890836743747487
naive,bf16,16384,128,ok,23.942344838922676,23.926623821258545,49.15605640411377
naive,bf16,32768,128,ok,108.7017593383789,117.09744262695312,200.8025665283203
naive,bf16,65536,128,oom,,,
naive,fp32,128,16,ok,0.14646324975183234,0.06747911502367894,0.14117189494876514
naive,fp32,256,16,ok,0.2152495435312923,0.5130524564546104,0.4421014922145053
naive,fp32,512,16,ok,0.20714920582988905,0.19766611114188326,0.339633065222958
naive,fp32,1024,16,ok,0.27767844774405853,0.09876172649159862,0.41866164972042214
naive,fp32,2048,16,ok,0.46722769160028343,0.42437679630934344,0.9327252857689701
